Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
STAC3	24	27	16	26	21	13
STAG1	136	136	197	162	262	105
STAG2	544.0009	651.9993	697.0007	845.0002	887	420.0001
STAG3	44.522	71.7103	78.275	106.809	103.045	21.7059
STAG3L1	290.111	212.921	247.138	282.626	412.353	175.814
STAG3L2	371.293	272.936	399.355	375.753	567.757	183.968
STAG3L3	333.469	254.279	509.329	438.744	569.371	250.009
STAG3L4	103.9663	107	166	137.9997	191.7893	84
STAM	208.9999	227.9997	182	271.0003	214.0004	167
STAM2	120.536	110.029	181.121	214.17	232.142	148.159
STAMBP	224.0001	237.9997	246.9996	425.0003	341.9998	176.00024
STAMBPL1	215	240	182	337	163	138
STAP1	323	425	264	547	192	167
STAP2	115.0227	76.3316	93.9237	119.3541	114.7707	50.59388
STAR	17.435	15.0834	38.8383	34.7302	20.335	18.4757
STARD10	51	54	56	49	39	18
STARD13	1	4.0000000110556	7	3.999999257842	1	2
STARD13-AS	0	0	1	0	2	0
STARD3	984.0002	1127.0044	1207.002	1637.003	1267.0002	532.9998
STARD3NL	312	311	464	481	716	290
STARD4	136.204	122.278	235.109	234.89	331.262	159.163
STARD4-AS1	38.6326	23.406	32.7753	59.4589	60.3739	30.2926
STARD5	76	54	67	58	75	26
STARD6	1	0	0	2	0	1
STARD7	687.771	780.619	684.091	1186.65	913.716	553.506
STARD8	5.0369581	40	9.08514	50	10.0340742	13.4829
STARD9	217	172	210	199	272	135
STAT1	2113.996	1689	3794	2416.997	4543	2030.999
STAT2	519.2695	382.834	747.3645	514.5599	932.42937979	416.6506
STAT3	1210.954	1145.8792	1631.862	1763.72	1650.5025	739.286
STAT4	1365	1285.9974	2357.0049	1982	3164.0018	1266
STAT5A	439.208	424.763	534.529	675.826	624.17	323.642
STAT5B	354.294	306.228	321.341	497.921	571.59	170.364
STAT6	895.779147586955	869.6369	1312.3804	903.4078	1220.2827	514.722
STATH	0	1	1	0	1	0
STAU1	565.644	562.60152	666.9943629	849.150474353	747.84400100335	445.9304
STAU2	340.00041	352.9998	263.99965	420.99973	355.0001	203.0001
STAU2-AS1	13.0828	13.0908	22.1367	13.0196	22.696	15.0597
STBD1	64	71	38.8481	80	13	13
STC1	2.03941	2	5	4	1.0064	10
STC2	2	1	4	36	3	9
STEAP1	0	1	1	7	5.55213	0
STEAP1B	2.000001	0	2.000005	1	4.44787	1
STEAP2	29.9688	31.3268	46.6351	63.5099	57.945	36.9765
STEAP3	18	14.000000132591	49	45	48.1194	16
STEAP4	17.455	18.4802	43.14044	45.1965	40.4713	21.0679
STH	0	0	0	1	1	0
STIL	453.576	540.246	585.674	700.87	511.404	273.848
STIM1	965	993	1263	1538	1432	699
STIM2	198.00031	188.9998	196.9997	284.0001	254	157.9996
STIP1	2625	3928	2214	4486	2523	1950
STK10	4002.73	3805.58	4333.69	4468.95	5960.57	2489.17
STK11	30	37	20	61	39	24
STK11IP	271	211	293	370	443	221
STK16	327	363.0004	477	620.0538	393.0003	235.9995
STK17A	338	252	253	337	403	165
STK17B	5750.04	6611.61	6535.95	7232.3	5909.05	3354.28
STK19	149.8148	134.63136	113.39538	233.4114	173.65482	121.756622
STK24	337	334	344	469	322	126
STK25	467.0001	418.9997116503	431.9573	586.93827701751	544.9997857	382.8413518407
STK3	75.00003	66	90	73.99995	125	43.99997
STK31	3	1	2	3	8.0000000368227	5
STK32A	0	0	0	1	0	4
STK32B	0	4	1	3	0	3
STK32C	68	65	60	55	69	46
STK33	3	7	2	5	2	2
STK35	283	253	239	360	345	204
STK36	66	72	96	128.9995	53.000007304	78.0000203975
STK38	575	400	842	588	1158	392
STK38L	74	62	69	109	168	64
STK39	104	100	110	215	184	65
STK4	1211.97	1087.82	1502.3	1437.53	2156.66	1094.33
STK4-AS1	21.0916	18.0143	36.1574	27.0599	55.2044	27.039
STK40	518	527	424	852	535	238
STL	54.3867	40.6202	104.66	77.7175	123.101	71.4983
STMN1	11370.8524	11137.8373	12883.0823	12734.5596	13269.1735	5076.1261
STMN2	2	2	3	1	7	1
STMN3	15	3	17	19	21	6
STMN4	1	0	1	0	0	0
STMND1	0	0	3	1	1	2
STOM	1255.2733	925.2571	1783.9163	1382.96772	2368.79022	903.5849
STOML1	131.99989	159	121.00006	250.999600067217	151.0000441	79
STOML2	1524	2086	1466	2883	1592	952
STOML3	0	2	1	1	0	0
STON1	28.0571	8.20474	26.0657	28.2681	34.6108000185124	27.2556000971519
STON1-GTF2A1L	0	0	2.1084	0	0	0
STON2	55.6582	45.8896	89.9787	159.01874	117.98	61.4626
STOX1	7.00001	8	5	7	27.999978	13.000007
STOX2	2	3	10	9	7	8
STPG1	20	33	9	66	50.99998	11.000000051813
STPG2	1	1	2	5	6	2
STRA13	734	879.0001	581.0003	1122	688.9996	410
STRA6	4	3.0000023018302	5	7.000003631055	3.000003602325	6
STRA8	1	0	3	1	0	0
STRADA	155.0000051	148.000037	167.0001	247.9999	205.99992	124
STRADB	140	130	156.0002	141.0002	118	108
STRAP	1239	1368	1033	1726	1358	833
STRBP	113.255640023085	88.5401	74.88583	190.4397	117.309	85.71991
STRC	6	2	17	26	12	8
STRIP1	312.000152	452	536	498.0002274	652.99985	363.9995
STRIP2	104.4007	118.454	166.31184	133.3233	184.5225	74.37017
STRN	63.1361	69	85.1695	89.2816	155.167	57.1403
STRN3	109.8874	70.2196	89.0683	118.7458	149.6396	73.9242
STRN4	236.0003	237.9996	235.0001	313	369	171.9998
STS	55	58	64	63	12	16
STT3A	748	1038	992	1412	1204	883
STT3B	213	188	192	292	195	132
STUB1	153.697	210.177	151.101	208.993	129.428	88.7597
STX10	200.0004	211.0003	227.00019	349.9999	227.9999	122.000009293
STX11	398.412	459.547	775.997	661.084	810.977	455.821
STX12	160	148	193	211	225	116
STX16	559.46620424324	557.12538095	551.6406	693.8531389405	663.2188696	400.458400610413
STX16-NPEPL1	72.6173	26.7185	82.0369	107.966	102.262	92.6993
STX17	291.556	231.103	312.187	373.587	349.197	212.356
STX18	226	278	247	309	371	164
STX19	2	0	0	0	5	1
STX1A	59	58	46	78	113	32.99996422
STX1B	21.7135	11.388	30.2945	44.4956	35.0745	22.1455
STX2	97.462909	92.1181	133.28763197	138.4353	131.44335691	57.8157
STX3	596.6323	826.6756	950.8247	1341.9996	860.3849	478.5837
STX4	200.00038	153.0004	208.9997	252.0004	362.9998	127.0003
STX5	41	40	36	29.99999	27.00001	20
STX6	91	80	70	107	128	63
STX7	229	254	243	341	335	187
STX8	567.99998	468.99961	506.00013	480.0003	603.99957	208
STXBP1	36	37	18.99998	36.99999	11	9
STXBP2	1535.9979	1685.9977	1523.0005	2098.005	1524.9982	736.9998
STXBP3	234	194	340	248	362	210
STXBP4	24	19	21	39	31	24
STXBP5	86.7306	72.24475	97	103	118	66.773765
STXBP5-AS1	10.2694	7.75524	12	8	18	6.22624
STXBP5L	4	2	9	13	6	7
STXBP6	0	1	0	0	4	2
STYK1	215	188	137	241	83	122
STYX	189.63	189.6993	242.4095	244.2	345.6553	161.67902
STYXL1	278	317	279	404	310	140
SUB1	1956	2133	1558	2457	1746	981
SUCLA2	252	276	255	414	334	228
SUCLG1	964	1103	956	1821	966	529
SUCLG2	638.9999	665.0001	491.0005	546	581.0001	433.9998
SUCNR1	0	0	2	1	2	1
SUCO	165.0003	151.0004	201.9996	202.0001	261.9997	116.9999
SUDS3	199	191	246	269	296	180
SUFU	41	60	60	53	105.00049	25
SUGP1	301	323	343	588	400	244
SUGP2	553.662	518.421	733.162	717.367	933.919	447.111
SUGT1	254.672	313.22	264.633	445.325	343.925	194.0003
SUGT1P1	4.52674	3.85932	3.69966	7.04227	11.2382	9.37344
SUGT1P3	8.24772	4.06292	23.1877	9.61919	25.9761	11.0664
SULF1	1.999995	2	2	6	1.999999	1.999997
SULF2	2	1	16.000038	16	21	5
SULT1A1	144.6755	144.41821	148.3088	200.687	129.413	72.48507
SULT1A2	4.511	10.787	13.7058	16.6175	11.10816	2.26239
SULT1A3	100.6672	58.90553	121.75001	108.16523	126.56925	44.38594
SULT1A4	100.6672	58.90553	121.75001	108.16523	126.56925	44.38594
SULT1B1	7	3	1	10	4	3
SULT1C2	6.21616	6.40588	7.13492	19.2789	12.9668	9.12308
SULT1C2P1	26	16	38.2114	31.2515	29.5325	18.1334
SULT1C3	0	0	3	0	0	0
SULT1C4	0	0	0	3	3	0
SULT1E1	4.88361	5.58408	18.9322	17.2031	13.0894	5.45345
SULT2A1	17.3709	20.8124	26.3217	25.4622	44.7572	26.5649
SULT2B1	2	0	3	2	1	1
SULT4A1	1	0	5	2	1	2
SULT6B1	1	0	0	2	0	1
SUMF1	165.9998	146	250.9996	220.9998	389.0002	145.0003
SUMF2	1237.6986	1434.5474	1377.0045	1952.9514	1590.9122	1021.07701
SUMO1	1370.83495	1529.53143	1452.3848	2013.4652	1600.01294	998.8677
SUMO1P1	0	1	2	1	3	3
SUMO1P3	27.1646	41.4673	72.6131	62.5336	93.9912	34.1323
SUMO2	4511.9985	4641.002	4706.99751	5514.9876	5167.9942	2343.99706
SUMO3	1306	1409	1322	1810	1376	680
SUMO4	8.00297	11	3.00213	17.0103	22.0071	5.00357
SUN1	243.00028	228.99988	262.99999	199.0004	263.00051	188.00015
SUN2	2405.998	1857	2615.9985	2464.999	3252.0031	1169
SUN3	2	0	1	1	1	5
SUN5	2	2	0	4	1	2
SUOX	173.4807	190.5964	156.2299	225.9807	90.6882	93.4215000360232
SUPT16H	1710	1906	2059.96	2648	2176.96	1217
SUPT20H	286.123	306.592	311.087	459.025	371.003	249.446
SUPT20HL1	0	0	0	0	2	1
SUPT20HL2	0	0	1	1	0	1
SUPT3H	36	30.9999527845	44.0000022	79	35	36
SUPT4H1	556.015	599.4092	637.9754	891.87	923.297	424.489
SUPT5H	388.0003	415.000816	410.000773265752	546.999400013213	496.000811260118	270.999897907075
SUPT6H	595	537	610	805	724	426
SUPT7L	304.918	297.391	405.603	493.727	453.972	267.97
SUPV3L1	414	422	478	643	481	282
SURF1	111	99	87	155	145	45
SURF2	169	183	151	321	189	102
SURF4	4514	5947	3597	5867	3487	2532
SURF6	240	253	243	299	319	185
SUSD1	109	57	145	109	171	38
SUSD2	9	7	19	15	12	16
SUSD3	6	3	8	18	18	4
SUSD4	0	3	2	2	1	0
SUSD5	20.3672	26.3884	28.4391	27.6238	38.2308	30.4228
SUV39H1	561	787	706	928	780	387
SUV39H2	139.6371	135.7937	157.8306	187.5271	228.823277	134.6124
SUV420H1	79	82	81	87	119	72
SUV420H2	9	13	7	12	6	6
SUZ12	227.576	179.442	196.92	281.776	305.554	139.476
SUZ12P1	8.42425	9.5584	10.0803	11.2241	10.9933	6.80292
SV2A	6	5	19	19	2	1
SV2B	25.6402	20.5454	25.74361	27.038	53.1775	36.2379
SV2C	0	1	2	1	4	2
SVEP1	3	1	7	7	10	3
SVIL	87.99999	94.00005	141.0004	134.0002	107.99975	58.00001
SVIP	200	162	224	292	199	119
SVOP	11.5095	12.7153	17.4722	18.0475	12.2977	14.4461
SVOPL	6	7	2	8.999999	5.000002	2
SWAP70	175.182	135.515	177.202	179.431	211.863	119.958
SWI5	83	75	76	157	66	56
SWSAP1	90.088	82.1365	145.373	137.338	145.04	90.0075
SWT1	9.000000357546	11	24.000000180526	18	26	13.0000016625
SYAP1	357.4211	344.512	304.875	381.921	440.497	224.016
SYBU	1	1.00000023802	1.000000226767	6	6	4
SYCE1	0	0	7	4	2	0
SYCE1L	13	10	3	4	8.03374	6
SYCE2	11	19	33	34	35	17
SYCE3	0	0	1	1	2	0
SYCN	0	0	0	0	0	0
SYCP1	4	0	4	4	4	6
SYCP2	53	29	58	52	77	27
SYCP2L	7	6	9	13	12	12
SYCP3	2.0000022327935	3	5.00000152401	8	11	1.9999956646814
SYDE1	0	2	2	4	3	1
SYDE2	16.5239	5.35906	27.9819	20.5934	16.1288	21.2704
SYF2	298.9996	243.00006	283.9998	384.0001	322.9998	172.00025
SYK	776.8603	708.1454	916.15	832.52430205629	1262.5655	400.911000088096
SYMPK	164	146	198	193	229	128
SYN1	2.000000449215	0	3.000000151711	1.00000009209	3.0000032899	0.999999641333
SYN2	1	1	5	9	3	1
SYN3	2	1	1	8	6	3
SYNC	5.1233	0	4.33271	2.28727	0	2.44209
SYNCRIP	931.0004738	1174.999341079	871.0001	1635.99765602636	1001.0002	764.00050361502
SYNDIG1	2	2	2	2	0	0
SYNDIG1L	1	0	3	1	2	2
SYNE1	778.0003	516	1557.997	862	2526.996	801
SYNE2	2233.9976	1120.0006	5158.0034	2106.002326	7176.995	2209.00227
SYNE3	198	241	326	409	418	212
SYNE4	12	12	9	11	22	10
SYNGAP1	9	10	18	9	22	10
SYNGR1	189.9996	64	277.00012	88	59.00002	26.99999
SYNGR2	1019	931	1373	1513	1612	811
SYNGR3	117	81	124	112	118	27
SYNGR4	1	0	2	1	1	1
SYNJ1	111	80	90.0000000372419	93.999980837	147.0005	55
SYNJ2	100	83	122	103.000000087084	197.000468	64
SYNJ2-IT1	18.9878	19.355	21.9354	13.8744	34.402	12.7285
SYNJ2BP	252.07	165.27	333.543	287.205	371.973	168.18
SYNJ2BP-COX16	0	0	8.85156	2.63782	3.6703	3.78322
SYNM	0	6	4	6	5	2
SYNPO	4.09436	10.13819279151	32.5541	21.46118354247	28.29949	11.12739
SYNPO2	38.3702	25.301	49.5641	60.4804	64.6702	41.79202
SYNPO2L	39.83039	43.9047	53.73794	69.3271	62.0473	36.1116
SYNPR	0	0	4	3	0	2
SYNPR-AS1	1	2	1	1	0	0
SYNRG	597.261825	482.72494	662.183800013659	655.24360227769	883.109805825031	350.16358862513
SYP	3	2	5	3	7	1
SYPL1	488	428	424	487	340.00044	241
SYPL2	0	2	1	0	3	5
SYS1	345.844800064939	333.601300068399	429.5852	551.946	691.853	260.3851
SYS1-DBNDD2	11.5707	43.132	70.9414	35.5749	16.651	34.3807
SYT1	3.11886	1.0006562	6.0303	7.03611	4.18428	1.01693
SYT10	1	0	2	3	4	0
SYT11	270.684	311.861	398.869	458.605	532.813	278.813
SYT12	2	2	4	4	4	3
SYT13	5.42136	8.82089	12.4029	9.27526	18.0639	8.53169
SYT14	6.99999588568	3.0287269756	7.03866150249	10.1914656315	18.040230158	13.0000285738
SYT14L	1	0	0	2	0	0
SYT15	87.9598	73.6718	128.66667	113.02506	193.27971	87.8403
SYT16	1	0	1	0	3	2
SYT17	3	2	3	1	0	1
SYT2	20.55105	31.0816	29.0735	24.9942	27.0796	11.72053
SYT3	4	1	3	5	0	3
SYT4	0	0	6	1	0	1
SYT5	2	2	3	10	1	3
SYT6	0	0	6	6.0000017	0.9999997	0
SYT7	5	3	3	7	9	6
SYT8	0	2	4	5	2	5
SYT9	2	4	2	2	3	0
SYTL1	1068.9995	928	1100	1651.003	1707.996	620
SYTL2	180.00034	91	601.000137538	160.000020011589	728.00052157493	181.0003
SYTL3	979	912.0004	855.5072	1245	731.0004	344.9997
SYTL4	15.28460217042	12.3036249869	14.413400438703	17.6773	25.3881	21.10110883914
SYTL5	1	4	4	7	5	1
SYVN1	118.999536596	107	103.000354454	170	137.9998	49
SZRD1	1217.9999	1248.9937	1444.9994	1765.9994	1405	856
SZT2	334.975	302.547	413.414	375.216	515.841	278.156
T	21	17.99995	4	3	0	3
TAAR1	0	0	0	1	0	1
TAAR2	0	0	0	1	0	0
TAAR3	1	0	1	0	0	1
TAAR5	0	0	0	1	1	0
TAAR6	0	1	1	0	1	0
TAAR8	0	0	0	0	0	0
TAAR9	0	0	1	1	0	0
TAB1	113	131	132	126	140	78
TAB2	140	140	152	230	190	119
TAB3	30	24	32	32	41	18
TAC1	0	0	1	0	0	1
TAC3	0	0	1	0	1	1
TAC4	5	3	5	4	3	3
TACC1	1259.487	1165.42100001571	1323.476	1844.021	1712.63900090183	886.552
TACC2	9	4	11	23.00004	5	4.000005
TACC3	2385	2688	2656	4393	2609	1708
TACO1	84	196	98	187	177	94
TACR1	5	2	3	8	3	0
TACR2	19.2673	13.3211	21.3689	20.2043	23.15	16.1836
TACR3	0	0	2	2	1	1
TACSTD2	1	0	2	4	1	2
TADA1	130	82	169	141	225	80
TADA2A	143.9999	99.00002	101	151.0002	146.0003	61.99995
TADA2B	98.542	80.7595	123.556	166.323	182.567	73.1309
TADA3	1468.075	1427.73	1568.424	2123.547	1769.247	815.812
TAF1	219.348325519	196.821336	252.972	300.072925	411.856	168.832
TAF10	60	49.0309	28	70	26	20
TAF11	261	257.5066	288.8125	308.816	326.239	194.3605
TAF12	312.0001	317.0003	334.0002	501.9997	433.0005	228.00039
TAF13	28	13	13	35	21	11
TAF15	209.0003	203.0003	319.0005	475.0002	333	209.9996
TAF1A	36.75616	26.6442	64.26171	78.65756	71.35287	50.15886
TAF1B	123	122	159	177	251	91
TAF1C	284.0003	285.0003	302.9997236762	384.0001	336.0002	202.0001
TAF1D	222	238	262	336	269	196
TAF1L	11.9314	13.9694	16.0795	21.6879	26.7373	14.9121
TAF2	239	273	342	366	356	207
TAF3	394	350	379	544	555	286
TAF4	38	24	28	55	38	24
TAF4B	11	18	10	31	16	29
TAF5	39	31	32	47	39	8
TAF5L	262.9997	234.0004	427	353.9996	397.9998	225.9997
TAF6	450.22666	526.7929	476.7679	658.795	451.2207	278.1627
TAF6L	17	36	23	39	30	14
TAF7	929	906	1072	1347	1487	733
TAF7L	1	2.03429	3.05515	1.04165	3.06712	1.05805
TAF8	243.775	234.333	281.787	281.491	430.174	207.382
TAF9	398.7102	453.098564	474.0004	596.7927	630.3945	391.83790002062
TAF9B	108	114	167	190	189	108
TAGAP	850.9997	635.99984	1806.0022	1577.0017	2610.003	1377.0026107341
TAGLN	16.99998	14.00005	21.99998	15.00004	34	17.00004
TAGLN2	8802	11847	5638	9092	5642	3533
TAGLN3	3	4	11	9	8	13
TAL1	22	15	39	53	39	21
TAL2	0	1	2	1	0	0
TALDO1	3533	4749	3109	7920	3207	2416
TAMM41	78	116	126	190	175	95
TANC1	2.0000048	3.000001	12	15	4.000004	6.000002
TANC2	55	26	97	37	119	20
TANGO2	393.984	421.535	427.953	598.886	486.433	231.056
TANGO6	194	227	202	329	247	169
TANK	538.9999	392.9999	739.9995	790.0002	1041	486.000321198
TAOK1	174.6868	169.320605898	266.188	272.258	360.83602243	155.539
TAOK2	268	327.88707	299.9993	367.0006	339.0932	191.9114
TAOK3	741	762	1092	1146	1276	607
TAP1	5265.64	4638.17	7661.46	5890.23	10488.8	3789.86
TAP2	427.293	342.202	711.865	578.446	787.586	321.06
TAPBP	4849.756	4449.281	7691.1433	6473.0674	9750.3698	3550.1428
TAPBPL	620	460	719	588	1129	414
TAPT1	38	32	36	71	72	24
TAPT1-AS1	7	9.0005	10.0004	6.00019	7.00023	6
TARBP1	62	73	56	78	74	45
TARBP2	208.99980195487	262.9995759	184.00046	413.9996052	235	171
TARDBP	1124.68	1247.88	1167.74	1464.66	1519.52	866.746
TARM1	0	0	0	1	2	0
TARP	1332	1814	1559	1764	1861	844
TARS	1414	1802.001	1435.0047	3527.0044	1781.0044	1279.9963
TARS2	231.315000471007	205.3315	264.3529	349.11088	372.435001594897	189.3186
TARSL2	57	64	62	76	99	58
TAS1R1	1	2	3	5	2	2
TAS1R2	1	0	2	1	3	4
TAS1R3	9	6	16	18	7	7
TAS2R1	1	0	1	0	0	0
TAS2R10	0	2	4	3	1	0
TAS2R13	3	2	2	1	0	0
TAS2R14	1	2	3	8	2	4
TAS2R16	0	0	0	0	0	1
TAS2R19	4	6	11	1	6	0
TAS2R20	14.6583	9.82386	12.7388	16.7456	10.2718	7.27502
TAS2R3	0	2	0	0	0	0
TAS2R30	0	0	0	3	2.32703	3
TAS2R31	2	2.15172	11.7347	5	4.80472	1.38927
TAS2R38	0	0	1	0	0	0
TAS2R39	1	0	0	0	2	0
TAS2R4	0	0	1	5	0	1
TAS2R40	0	0	0	1	0	0
TAS2R41	0	0	0	2	0	1
TAS2R42	0	2	0	1	2	1
TAS2R43	4	9.67783	4.26528	4	13.1953	4.15696
TAS2R46	0	2.17045	0	0	0	1.45378
TAS2R5	1	2	1	1	5	1
TAS2R50	0	0	4	1	2	0
TAS2R60	0	0	0	1	0	1
TAS2R7	0	0	0	1	2	0
TAS2R8	0	0	0	0	0	2
TAS2R9	0	0	0	0	0	1
TASP1	70	79	99	118	147	74
TAT	15.9029	19.594	30.3396	30.0532	19.362	10.3878
TATDN1	60	61.00002	54.00008	90	50.000000012948	34.99995
TATDN2	220	222	322	345	313	173
TATDN3	151.75569	133.3922	182.8982	216.5934	186.9634	126.4435
TAX1BP1	698.9995	531.99965	793	814.99988	1082.00004	542.99965
TAX1BP3	184.242	213.36	125.578	214.775	168.1	113.004
TAZ	256.00023	243	243.00001	350.0007	276.00009	102.999994774
TBATA	0	0	1	1	1	1
TBC1D1	235.00003	203.99985	210.00024	400.99972	255.99986	140.99975
TBC1D10A	408	340	399	447	364	236
TBC1D10B	318	389	368	601	317	191
TBC1D10C	3292	2988.997	3600.998	4498.995	4532.998	1866.0032
TBC1D12	9	2	7	11	8	14
TBC1D13	361.317	432.272	346.557	586.713	479.339	237.779
TBC1D14	289.815	314.6778	642.6615	434.0859	607.901	370.3566
TBC1D15	274.9555	199.1085	351.2191	314.6995	417.067300039258	219.3708062
TBC1D16	19.99999	24.11413	26.05228	42.20569	16.05366	8.999995
TBC1D17	70	85	114	134	124	48.99998
TBC1D19	36	39	66	56	128	45
TBC1D2	87.99999	75.00004	119.9999875574	145.00045	155.999600055164	60.999992
TBC1D20	191.379	204.769	196.219	252.947	301.77	160.745
TBC1D21	0	0	4	3	2	0
TBC1D22A	245	335	270	420	456	216
TBC1D22B	125.517	99.3002	127.706	134.76	139.836	86.0894
TBC1D23	171	176	196.9999	236.0001	341.9998	173.9996
TBC1D24	163.7756391	155.29229	212.055000010928	273.0447	253.92553183	129.505414971
TBC1D25	240	206	320	359	557	169
TBC1D26	1.35165	0	3	1.17678	4.51706	3
TBC1D28	2.64835	2	5	5.82322	4.48294	0
TBC1D29	4	5	6	8	2	6
TBC1D2B	872.000000367182	847	658.999514848	1133.9658	762	550.0003009
TBC1D3	40.4149	0	29.0207087	136.04453	59.1511	30.547
TBC1D30	0	2	6	6	19	3
TBC1D3B	0	2.76749	0	0	0	0
TBC1D3C	0	0	12.185	0	35.9181	0.000360892
TBC1D3F	149.435	173.1224	130.958287	182.97872	116.0785	96.2029
TBC1D3G	4.45019	0	0	0	5.70276	11.3302
TBC1D3H	0	0	0	0	0	0
TBC1D3P1-DHX40P1	0	0	2.48691	1.68555	3.55287	1.31597
TBC1D3P2	1.10044	2.10995	3.27283	5.02024	1.11907	3.49165
TBC1D3P5	7	14	18	18	12	8
TBC1D4	91	103	38	113	28	42
TBC1D5	410.6235	405.1438	603.647	562.107	651.623	267.226
TBC1D7	308	304.9995	227	378.999450026147	284.0004	150.00006
TBC1D8	25	14	22	33	25	29
TBC1D8B	1	1	6	1.999997	2	3
TBC1D9	0	3	0	8	3	8
TBC1D9B	1160.001	1317	1299.005	1643.0022	1277.002	756
TBCA	353	342	279	482	311	172
TBCB	1775.26	2030.23	1613.46	2615.61	1586.18	798.816
TBCC	458.579	421.661	535.939	622.344	890.554	339.743
TBCCD1	207.803	210.8225	262.912	361.1526	311.48187	232.88423
TBCD	1190	990	994	1430	1307	660
TBCE	98.2527	125.1192	110.3342	159.4954	151.0846	78.7132
TBCEL	17	10	35.00003	17	24	32
TBCK	92.3456	55.85391	82.68270462	105.0378	101.9357	61.45811
TBK1	302	324	350	318	450	247
TBKBP1	13	11	31	16	49	2
TBL1X	310.999793	257	422.9879	513.9900383236	548.00000569194	185.9999
TBL1XR1	710	656	727	925	1324	755
TBL1Y	0	0	1.01204	2.00959	0	1
TBL2	146	177	143	220	209	152
TBL3	616	680	674	1140	759	450
TBP	157.0004	131.6742	161.4544	181.833	175.601	148.597
TBPL1	201	158	237	264.99963	330	159.00037
TBPL2	2	0	0	2	0	0
TBR1	3	0	2	0	6	0
TBRG1	417.468	366.949	458.81	578.92	649.347	290.9967
TBRG4	674.0001	872.0001	620.000002582072	1120	725.999700024063	465.9996
TBX1	27.5622	15.18491	41.92566	29.3744	43.58381	24.38802
TBX10	1	2	2	1	2	0
TBX15	2	0	3	2	4	0
TBX18	0	0	2	5	2	3
TBX19	38	22.0443	55.098	21.0178	57.083	16.0186
TBX2	0	1	4	4	2	7
TBX20	4.000003	2	0	4	1	2
TBX21	382	235	322	243	407	125
TBX22	1	0	0	2	1	1
TBX3	0	2.99999500374	3.0000000701486	4.00000460587	2.99999755411	6.00000201803
TBX4	0	1.00336	3.05921	3.07475	7.28065	1.11948
TBX5	2	4	1	8	4	4
TBX5-AS1	1	0	1	3	2	1
TBX6	6	2	3	9	1	1
TBXA2R	51.6773	62.4318	90.0143	87.8286	105.103	52.3103
TBXAS1	207.0001	162	440.0005	342.0005	718.00025	278.99972
TC2N	220.00049	121	132.9998	67.99996	145.99966	40
TCAIM	106.2139	121.2644	152.9368	133.6532	161.2069	121.5352
TCAM1P	11.794	17.1222	62.6954	43.8418	43.9977	27.2343
TCAP	1	4	2	7	2	0
TCEA1	1183.0022	1285.9965	962.9996	2521.9993	1316.9975	739
TCEA2	30	45	18	46	32	17
TCEA3	9	4	14	9	11	5
TCEAL1	37	31	49.99998	39.99998	78.00005	32.99994
TCEAL2	1	0	0	1	0	0
TCEAL3	39	6.9999976993	106	15	97.9928	20.00003
TCEAL4	11	12.99997	13	17	23	5.0000048
TCEAL5	0	0	0	0	1	0
TCEAL6	1	0	0	1	1.00719	0
TCEAL7	0	0	0	0	0	0
TCEAL8	216.9998	211.9999	248.0002	225	316.9996	138.0001
TCEANC	22.0149	16.0099	26.2881	21.0077	51	9
TCEANC2	90.7956	110.244	133.307	155.943	157.868	79.5343
TCEB1	419.77129	487.854382	370.52101	655.0738	420.926210958	317.47561
TCEB2	2537	2731	1914.003	3484	2382	1056
TCEB3	398.954	405.237	405.695	619.015	485.833	291.75
TCEB3B	1	0	2.04688	6	2.12557	1
TCEB3C	7.33334	6.99996	8.31771	0	5.91628	7.39528
TCEB3CL	0	3.66876e-05	0	0	0	0.604719
TCEB3CL2	3.66667	0	16.63542	24	2.95814	0
TCERG1	448.0005	608.0001	427	609	682	398.9997
TCERG1L	3	2	1	5	4	2
TCF12	406.0004	491.9998	492.00002	693.9999	887.000284	402.0004
TCF15	0	0	0	1	0	0
TCF19	2588.004	2906.998	3311	4224	2822	1815.004
TCF20	88	73	132	92	159.9997	53
TCF21	1.44488	1	4.083548	7.65893	6.999996	5.14988
TCF23	1	0	1	0	3	1
TCF24	8	9	13	9	5	7
TCF25	1359	1393	1609	2031	1796	881
TCF3	232.9997	241.0005	259.0004	392	281	148
TCF4	62.01323701	76.01174044	75.00884	122.034200128711	158.00195	62
TCF7	202.0117	159.28389	164.217	124.7842	188.184	79.3903
TCF7L1	1	2	8	9	9	4
TCF7L2	6	1	12	13.0000086437605	37.000050549615	3
TCFL5	13	13	16	27	18	14
TCHH	0	5	10	7	7	4
TCHHL1	0	0	0	3	0	0
TCHP	272.99951	271	381	497.0005	465.0001	270.9999
TCIRG1	3285	3081	2973	3962	2354	1171
TCL1A	11	3.000001	12.000147057	15.00001	29.6719	12
TCL1B	5	3	6	4	4	5
TCL6	19	16	53	43.042	47.2485	35.076
TCN1	0	0	0	1	0	0
TCN2	3	1	7	11	3	3
TCOF1	689.999268302651	828.99979	908.00051	1264.9998	959.9994799877	684.0004
TCP1	2164.2477	3186.282	1881.0118	3846.0395	2093.073	1662.8679
